"population","pop_name","sample","vaccine_status","percentage"
"Pop16","CD3+CD4+(negative all other markers)","Minipig_4754_12wks","control",12.8051174283537
"Pop16","CD3+CD4+(negative all other markers)","Minipig_5273_12wks","vaccinated",0.129922355925387
"Pop16","CD3+CD4+(negative all other markers)","Minipig_6059_12wks","vaccinated",21.9717603211009
"Pop16","CD3+CD4+(negative all other markers)","Minipig_7488_12wks","control",27.867664815262
"Pop16","CD3+CD4+(negative all other markers)","Minipig_7554_12wks","control",11.7016883831896
"Pop16","CD3+CD4+(negative all other markers)","Minipig_9739_12wks","control",12.726921591348
"Pop16","CD3+CD4+(negative all other markers)","Minipig_9947_12wks","vaccinated",17.6585785250287
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_1817_30DPI","vaccinated",3.53132502129637
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_3273_30DPI","control",3.64213701675002
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_4515_30DPI","vaccinated",4.45629403923062
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_4754_30DPI","control",2.25092482287291
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_5273_30DPI","vaccinated",3.80318661864355
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_6059_30DPI","vaccinated",3.69073275862069
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_7488_30DPI","control",5.89973989122724
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_7554_30DPI","control",4.8879202988792
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_9739_30DPI","control",4.92730998146161
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_9947_30DPI","vaccinated",3.19081973563163
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_1817_12wks","vaccinated",15.8518473615615
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_3273_12wks","control",14.1985821220642
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_4515_12wks","vaccinated",10.2587015772307
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_4754_12wks","control",13.082234487218
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_5273_12wks","vaccinated",12.5375073467999
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_6059_12wks","vaccinated",13.8618119266055
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_7488_12wks","control",11.4545600901554
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_7554_12wks","control",16.2896861809506
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_9739_12wks","control",14.6079567400541
"Pop17","CD3+CD4+CD45RA+SLADQ+(negative all other markers)","Minipig_9947_12wks","vaccinated",10.3314864348491
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_1817_30DPI","vaccinated",1.23518934407187
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_3273_30DPI","control",1.89568944986902
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_4515_30DPI","vaccinated",0.552275756998667
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_4754_30DPI","control",0.219449495266161
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_5273_30DPI","vaccinated",0.0427324339173433
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_6059_30DPI","vaccinated",1.29310344827586
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_7488_30DPI","control",2.08875226609916
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_7554_30DPI","control",0.74719800747198
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_9739_30DPI","control",0.409796077666114
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_9947_30DPI","vaccinated",0.827966881324747
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_1817_12wks","vaccinated",1.36998757312157
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_3273_12wks","control",0.780228919957226
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_4515_12wks","vaccinated",0.62999865957732
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_4754_12wks","control",1.12463339722421
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_5273_12wks","vaccinated",0.705292789309246
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_6059_12wks","vaccinated",1.03211009174312
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_7488_12wks","control",0.82105771552765
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_7554_12wks","control",1.11029546705818
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_9739_12wks","control",0.984936268829664
"Pop18","CD3+CD4+SLADQ+(negative all other markers)","Minipig_9947_12wks","vaccinated",0.718857470385938
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_1817_30DPI","vaccinated",1.75404630992024
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_3273_30DPI","control",0.841470191315393
"Pop19","CD3+CD4+CD45RA+(negative all other markers)","Minipig_4515_30DPI","vaccinated",2.66615882689012
