"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"HMDB0159614","NA","NA","NA","NA","NA","0"
"HMDB0159613","NA","NA","NA","NA","NA","0"
"HMDB0159611","NA","NA","NA","NA","NA","0"
"HMDB0159610","NA","NA","NA","NA","NA","0"
"HMDB0159612","NA","NA","NA","NA","NA","0"
"HMDB0159609","NA","NA","NA","NA","NA","0"
"HMDB0168123","NA","NA","NA","NA","NA","0"
"HMDB0032153","Acetaldehyde diisoamyl acetal","HMDB0032153","83036",NA,"CC(C)CCOC(C)OCCC(C)C","1"
"HMDB0037310","NA","NA","NA","NA","NA","0"
"HMDB0168122","NA","NA","NA","NA","NA","0"
"HMDB0061683","NA","NA","NA","NA","NA","0"
"HMDB0031813","N-Carbamoyl-2-amino-2-(4-hydroxyphenyl)acetic acid","HMDB0031813","578941",NA,"C1=CC(=CC=C1C(C(=O)O)NC(=O)N)O","1"
"HMDB0000014","Deoxycytidine","HMDB0000014","13711","C00881","C1[C@@H]([C@H](O[C@H]1N2C=CC(=NC2=O)N)CO)O","1"
"HMDB0028732","Asparaginyl-Hydroxyproline","HMDB0028732","61157688",NA,"NC(CC(N)=O)C(=O)N1CC(O)CC1C(O)=O","1"
"HMDB0028858","Hydroxyprolyl-Asparagine","HMDB0028858","61158096",NA,"NC(=O)CC(NC(=O)C1CC(O)CN1)C(O)=O","1"
"HMDB0040046","NA","NA","NA","NA","NA","0"
"HMDB0161863","NA","NA","NA","NA","NA","0"
"HMDB0161860","NA","NA","NA","NA","NA","0"
"HMDB0041444","NA","NA","NA","NA","NA","0"
"HMDB0033452","Koenoline","HMDB0033452","375152",NA,"COC1=C2C(=CC(=C1)CO)C3=CC=CC=C3N2","1"
"HMDB0161862","NA","NA","NA","NA","NA","0"
"HMDB0161861","NA","NA","NA","NA","NA","0"
"HMDB0161859","NA","NA","NA","NA","NA","0"
"HMDB0161858","NA","NA","NA","NA","NA","0"
"HMDB0161857","NA","NA","NA","NA","NA","0"
"HMDB0028925","Leucyl-Aspartate","HMDB0028925","7019087",NA,"CC(C)CC(N)C(=O)NC(CC(O)=O)C(O)=O","1"
"HMDB0011166","L-beta-aspartyl-L-leucine","HMDB0011166","3549397",NA,"CC(C)CC(C(=O)O)NC(=O)CC(C(=O)O)N","1"
"HMDB0028757","Aspartyl-Leucine","HMDB0028757","6992367",NA,"CC(C)CC(NC(=O)C(N)CC(O)=O)C(O)=O","1"
"HMDB0028756","Aspartyl-Isoleucine","HMDB0028756","9899628",NA,"CCC(C)C(NC(=O)C(N)CC(O)=O)C(O)=O","1"
"HMDB0028903","Isoleucyl-Aspartate","HMDB0028903","44298592",NA,"CCC(C)C(N)C(=O)NC(CC(O)=O)C(O)=O","1"
"HMDB0029126","Valyl-Glutamate","HMDB0029126","7009623",NA,"CC(C)C(N)C(=O)NC(CCC(O)=O)C([O-])=O","1"
"HMDB0011172","gamma-Glutamylvaline","HMDB0011172","7015683",NA,"CC(C)[C@@H](C(=O)O)NC(=O)CC[C@@H](C(=O)O)N","1"
"HMDB0029162","NA","NA","NA","NA","NA","0"
"HMDB0028832","Glutamylvaline","HMDB0028832","6992567",NA,"CC(C)[C@@H](C(=O)O)NC(=O)[C@H](CCC(=O)O)N","1"
"HMDB0059717","NA","NA","NA","NA","NA","0"
"HMDB0151784","NA","NA","NA","NA","NA","0"
"HMDB0151780","NA","NA","NA","NA","NA","0"
"HMDB0151794","NA","NA","NA","NA","NA","0"
"HMDB0151781","NA","NA","NA","NA","NA","0"
"HMDB0151783","NA","NA","NA","NA","NA","0"
"HMDB0151789","NA","NA","NA","NA","NA","0"
"HMDB0151790","NA","NA","NA","NA","NA","0"
"HMDB0151792","NA","NA","NA","NA","NA","0"
"HMDB0151788","NA","NA","NA","NA","NA","0"
"HMDB0151787","NA","NA","NA","NA","NA","0"
"HMDB0151786","NA","NA","NA","NA","NA","0"
"HMDB0151785","NA","NA","NA","NA","NA","0"
"HMDB0132940","NA","NA","NA","NA","NA","0"
"HMDB0001925","Ibuprofen","HMDB0001925","3672","C01588","CC(C)CC1=CC=C(C=C1)C(C)C(=O)O","1"
"HMDB0035016","2-Phenylethyl pentanoate","HMDB0035016","81964",NA,"CCCCC(=O)OCCC1=CC=CC=C1","1"
"HMDB0036386","NA","NA","NA","NA","NA","0"
"HMDB0035008","3-Methylbutyl phenylacetate","HMDB0035008","7600",NA,"CC(C)CCOC(=O)CC1=CC=CC=C1","1"
"HMDB0034472","3-Phenylpropyl 2-methylpropanoate","HMDB0034472","7662","C02008","CC(C)C(=O)OCCCC1=CC=CC=C1","1"
"HMDB0034470","2-Phenylpropyl isobutyrate","HMDB0034470","576240",NA,"CC(C)C(=O)OCC(C)C1=CC=CC=C1","1"
"HMDB0038605","NA","NA","NA","NA","NA","0"
"HMDB0040431","NA","NA","NA","NA","NA","0"
"HMDB0036391","NA","NA","NA","NA","NA","0"
"HMDB0036025","2,4,6-Trimethyl-4-phenyl-1,3-dioxane","HMDB0036025","107381",NA,"CC1CC(OC(O1)C)(C)C2=CC=CC=C2","1"
"HMDB0037194","NA","NA","NA","NA","NA","0"
"HMDB0034469","2-Phenylpropyl butyrate","HMDB0034469","576263",NA,"CCCC(=O)OCC(C)C1=CC=CC=C1","1"
"HMDB0034556","3-Acetoxy-3-methyl-1-phenylbutane","HMDB0034556","7633",NA,"CC(=O)OC(C)(C)CCC1=CC=CC=C1","1"
"HMDB0033196","(E)-6-Methyl-6-(5-methyl-2-furanyl)-3-hepten-2-one","HMDB0033196","21767560",NA,"CC1=CC=C(O1)C(C)(C)C/C=C/C(=O)C","1"
"HMDB0037604","NA","NA","NA","NA","NA","0"
"HMDB0029669","Eremopetasinorone A","HMDB0029669","85167039",NA,"CC1C(=O)CCC2CC(=CC12C)C(C)=O","1"
"HMDB0035181","xi-8,9-Dehydrotheaspirone","HMDB0035181","44147198",NA,"CC1=CCC2(O1)C(=CC(=O)CC2(C)C)C","1"
"HMDB0039101","NA","NA","NA","NA","NA","0"
"HMDB0037623","NA","NA","NA","NA","NA","0"
"HMDB0036240","NA","NA","NA","NA","NA","0"
"HMDB0132932","NA","NA","NA","NA","NA","0"
"HMDB0163212","NA","NA","NA","NA","NA","0"
"HMDB0151805","NA","NA","NA","NA","NA","0"
"HMDB0151793","NA","NA","NA","NA","NA","0"
"HMDB0151791","NA","NA","NA","NA","NA","0"
